mgr_ip,event_time,origin,origin_name,s_info,s_port,d_info,d_port,protocol,status,method,count
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.51.248,53193,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.79.248,42351,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.52.248,43171,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40805,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.56.248,51461,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.66.247,42476,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,51616,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.103.112,56201,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.58.248,47275,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.53.248,48082,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:40,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.112.210,34828,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:38,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.108.112,40801,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
